fixture,league,home,away,mH,mD,mA,xH,xD,xA,dH,dD,dA,evH,evD,evA,oH,oD,oA,o25,btts
Ath Madrid v Real Madrid,La Liga,Ath Madrid,Real Madrid,0.2767585156466353,0.24127665466629744,0.4819648296870673,0.2717198834247472,0.2266258098178203,0.5016543067574323,-0.005038632221888106,-0.014650844848477146,0.019689477070365002,-0.07615239635585958,-0.11615934171050091,-0.020579686806917907,3.4,3.9,1.9523809523809523,0.6042220673113956,0.5977786754634277
La Coruna v Betis,La Liga,La Coruna,Betis,0.29233302406771083,0.265830304852781,0.4418366710795082,0.2649272156139102,0.2731544123375398,0.4619183720485499,-0.02740580845380064,0.007324107484758813,0.020081700969041716,-0.12309091631795721,-0.005717939091355095,0.011601234786324355,3.31,3.64,2.19,0.3706842494316322,0.4164506006690168
Villarreal v Levante,La Liga,Villarreal,Levante,0.6058274252118276,0.22349991353968526,0.17067266124848696,0.6094843174920652,0.1891117558603632,0.2014039266475713,0.003656892280237578,-0.03438815767932207,0.030731265399084357,-0.05563418938042641,-0.20573062538647457,0.10772159656164226,1.5494505494505495,4.2,5.5,0.7220518775109256,0.6466852724031056
Valencia v Sociedad,La Liga,Valencia,Sociedad,0.35739313244569015,0.27540294323756126,0.3672039243167484,0.3724814008600753,0.2443548229466795,0.3831637761932452,0.015088268414385153,-0.031048120290881748,0.01595985187649679,-0.024098729746602654,-0.16919360198128963,-0.02293237070722476,2.62,3.4,2.55,0.5706438080436084,0.5985266682130612
Bayern Munich v Union Berlin,Bundesliga,Bayern Munich,Union Berlin,0.8963367108339829,0.0627435697583788,0.04091971940763835,0.8939478837388747,0.0588029089493021,0.0472492073118231,-0.002388827095108237,-0.0039406608090767,0.0063294879041847565,-0.06135472207418158,-0.11795636576046842,0.08673176817193129,1.05,15.0,23.0,0.9050108729947204,0.5258265068574548
Ein Frankfurt v Freiburg,Bundesliga,Ein Frankfurt,Freiburg,0.4121829362029208,0.24308224442736354,0.3447348193697155,0.4605014646407562,0.2131885218694887,0.3263100134897549,0.048318528437835406,-0.02989372255787484,-0.018424805879960593,0.059153368673739104,-0.16856476470899406,-0.10264746290317395,2.3,3.9,2.75,0.7178114882171072,0.7086485823240493
M'gladbach v Mainz,Bundesliga,M'gladbach,Mainz,0.3160919540229885,0.25287356321839083,0.4310344827586207,0.3708704962229202,0.2503633551087091,0.3787661486683707,0.05477854219993167,-0.002510208109681722,-0.05226833409025,0.11261148866876058,-0.06113741834234088,-0.1667144729295843,3.0,3.75,2.2,0.5238669637696862,0.5621645943212462
Hamburg v FC Koln,Bundesliga,Hamburg,FC Koln,0.3506261180679785,0.2629695885509839,0.38640429338103754,0.4043753630724793,0.2379131778542645,0.3577114590732561,0.05374924500450079,-0.025056410696719406,-0.028692834307781467,0.09181348029569425,-0.14351255972464783,-0.12360692527052253,2.7,3.6,2.45,0.5891553597698226,0.6127759883366551
Werder Bremen v Augsburg,Bundesliga,Werder Bremen,Augsburg,0.4120836560805577,0.249419054996127,0.3384972889233152,0.3877860593324576,0.2461834494922649,0.3660304911752773,-0.024297596748100114,-0.0032356055038620934,0.027533202251962097,-0.10809206353534762,-0.0645028919293934,0.0248853752907765,2.3,3.8,2.8,0.545885397016708,0.5795467030462599
Stuttgart v Dortmund,Bundesliga,Stuttgart,Dortmund,0.4055228347977214,0.2541276431399054,0.3403495220623733,0.3243748747845268,0.2174563766903761,0.458168748525097,-0.08114796001319458,-0.03667126644952928,0.11781922646272369,-0.23771904425636192,-0.18453858741108964,0.2828724958702715,2.35,3.75,2.8,0.6829383893061307,0.6782050043138291
Leverkusen v RB Leipzig,Bundesliga,Leverkusen,RB Leipzig,0.4841243033271407,0.2250464448572876,0.2908292518155717,0.4920884626707074,0.2132304393546522,0.2946810979746405,0.007964159343566701,-0.011816005502635396,0.003851846159068806,-0.039255858595285575,-0.10443215471046075,-0.042286431582418404,1.9523809523809523,4.2,3.25,0.6981221170144852,0.6871328185062899
Schalke 04 v Elversberg,Bundesliga,Schalke 04,Elversberg,0.47349177330895803,0.25594149908592323,0.27056672760511885,0.4547869718478601,0.2071797037501076,0.3380333244020323,-0.01870480146109793,-0.04876179533581562,0.06746659679691347,-0.0904260563042798,-0.23343509612460178,0.1831166354071132,2.0,3.7,3.5,0.7568218827396536,0.740794767847923
Paderborn v Hoffenheim,Bundesliga,Paderborn,Hoffenheim,0.21862853970016655,0.2103692393114936,0.5710022209883397,0.215052422264416,0.2612457477755298,0.523701829960054,-0.0035761174357505365,0.050876508464036185,-0.04730039102828576,-0.06882301159507864,0.17560586498988395,-0.1317574924346473,4.33,4.5,1.6578947368421053,0.3756586114733546,0.3977592147785692
Bologna v Torino,Serie A,Bologna,Torino,0.49545671927307516,0.2690897497210266,0.23545353100589833,0.5511975833079403,0.2115457465124246,0.2372566701796349,0.05574086403486517,-0.05754400320860201,0.001803139173736562,0.04777198268446314,-0.2595898872065139,-0.05097331928146043,1.900900900900901,3.5,4.0,0.6524707978767199,0.6238060634375627
Udinese v Cagliari,Serie A,Udinese,Cagliari,0.42307692307692313,0.2884615384615385,0.2884615384615385,0.4364643550269084,0.241460395665969,0.3220752493071223,0.013387431949985262,-0.047001142795569495,0.03361371084558379,-0.01795520118945615,-0.20318069430230234,0.06284832271350349,2.25,3.3,3.3,0.5718252728671778,0.5947604362042349
Roma v Inter,Serie A,Roma,Inter,0.35051546391752575,0.27835051546391754,0.3711340206185567,0.3579326865186248,0.2274679903716703,0.4145993231097047,0.0074172226010990605,-0.05088252509224725,0.043465302491147995,-0.0335817463997129,-0.22660883273632104,0.05722827392974694,2.7,3.4,2.55,0.6649535200220239,0.6702887764513817
Venezia v Lazio,Serie A,Venezia,Lazio,0.24004160504461167,0.2674749313354244,0.49248346361996387,0.2202612437675218,0.2022591295498628,0.5774796266826155,-0.019780361277089875,-0.06521580178556158,0.08499616306265168,-0.14098114930666505,-0.2920930465754802,0.09773154261289996,3.9,3.5,1.900900900900901,0.6682076407960782,0.621595298435823
Fiorentina v Napoli,Serie A,Fiorentina,Napoli,0.288135593220339,0.2796610169491525,0.43220338983050843,0.2650616544797852,0.2304842428800418,0.5044541026401729,-0.0230739387405538,-0.049176774069110724,0.07225071280966444,-0.12529654021670888,-0.21635357420785795,0.10979902580838052,3.3,3.4,2.2,0.5800190719828361,0.5813473344173143
Frosinone v Como,Serie A,Frosinone,Como,0.15789473684210528,0.2105263157894737,0.6315789473684211,0.1436879528142647,0.1590284750263512,0.6972835721593842,-0.014206784027840591,-0.0514978407631225,0.06570462479096306,-0.1378722831144119,-0.28437186238141954,0.045925358239076175,6.0,4.5,1.5,0.7108317496099064,0.5648653169870961
Parma v Genoa,Serie A,Parma,Genoa,0.30625,0.30625,0.3875,0.2969174819689858,0.2750805008519202,0.4280020171790937,-0.009332518031014203,-0.031169499148079816,0.040502017179093686,-0.07955580589614397,-0.14725044735904735,0.048604942088779524,3.1,3.1,2.45,0.3974737538802934,0.4533427530752171
Juventus v Atalanta,Serie A,Juventus,Atalanta,0.5575796801742783,0.24294757447077212,0.1994727453549497,0.5305906426166987,0.2370503139105106,0.2323590434727904,-0.02698903755757953,-0.005897260560261519,0.03288629811784072,-0.0983669499590365,-0.07550377574900868,0.10370545649575447,1.6993006993006992,3.9,4.75,0.5093456385666653,0.5123113992921599
Milan v Lecce,Serie A,Milan,Lecce,0.74828137490008,0.16530775379696244,0.08641087130295765,0.6223874539347929,0.2102238022202588,0.167388743844948,-0.12589392096528706,0.044916048423296356,0.08097787254199036,-0.2093997206774253,0.20878686276648817,0.8412761822944281,1.2702702702702702,5.75,11.0,0.5142483603551876,0.4552089848342776
Monaco v Lens,Ligue 1,Monaco,Lens,0.4751131221719458,0.2533936651583711,0.2714932126696833,0.3135014022393857,0.2087576335104349,0.4777409642501793,-0.16161171993256007,-0.0446360316479362,0.20624775158049602,-0.37299719552122856,-0.21715887433586922,0.6720933748756277,2.0,3.75,3.5,0.7365022519297892,0.7161801379384216
Angers v Troyes,Ligue 1,Angers,Troyes,0.43220338983050843,0.288135593220339,0.2796610169491525,0.4113906058539928,0.2619757942992855,0.3266335998467217,-0.020812783976515647,-0.026159798921053468,0.04697258289756917,-0.09494066712121585,-0.1354798788123578,0.11055423947885368,2.2,3.3,3.4,0.4627618821505637,0.5124114320245704
Auxerre v Brest,Ligue 1,Auxerre,Brest,0.33980582524271846,0.27184466019417475,0.3883495145631068,0.3646647354327265,0.2447896445635682,0.3905456200037053,0.02485891019000802,-0.027055015630606555,0.002196105440598506,0.021061259211634153,-0.14323624402751134,-0.04316323099092201,2.8,3.5,2.45,0.5548055470145022,0.5856665301653612
Le Mans v Lorient,Ligue 1,Le Mans,Lorient,0.3510353227771011,0.28721071863581,0.36175395858708886,0.4582016060524518,0.2117436652080637,0.3300547287394843,0.10716628327535072,-0.07546705342774629,-0.03169922984760454,0.2371443363416199,-0.30124590481338986,-0.13525661070255102,2.7,3.3,2.62,0.7422777094814937,0.7281222569223973
Lyon v Rennes,Ligue 1,Lyon,Rennes,0.449677174325864,0.2552221800227877,0.29510064565134825,0.5064241440783176,0.2175411279004267,0.2760347280212556,0.05674696975245358,-0.037681052122360975,-0.019065917630092633,0.0634907025644671,-0.19509782676842113,-0.11668887033198194,2.1,3.7,3.2,0.6671921076589762,0.6565659174202891
Marseille v Paris SG,Ligue 1,Marseille,Paris SG,0.13513513513513511,0.1891891891891892,0.6756756756756757,0.2730396561684192,0.2158615914013332,0.5110987524302475,0.13790452103328407,0.02667240221214401,-0.16457692324542816,0.9112775931789343,0.07930795700666593,-0.28446174659765355,7.0,5.0,1.4,0.6516687697579182,0.6357142561247673
Nice v Lille,Ligue 1,Nice,Lille,0.2642238998342847,0.2717731541152642,0.46400294605045117,0.2568288385357376,0.228498462105429,0.5146726993588333,-0.0073950612985470565,-0.04327469200983519,0.05066975330838214,-0.07541618127134453,-0.2002553826309985,0.05507903368560818,3.6,3.5,2.05,0.5604325814096902,0.5580818461998807
Paris FC v Strasbourg,Ligue 1,Paris FC,Strasbourg,0.4847396768402155,0.2523724031803027,0.26288791997948197,0.4595594571263459,0.222012460149063,0.318428082724591,-0.025180219713869634,-0.030359943031239678,0.055540162745109034,-0.10276486941999141,-0.16745327444101377,0.14634109780852755,1.9523809523809523,3.75,3.6,0.6747934860142903,0.6738274262895283
Toulouse v Le Havre,Ligue 1,Toulouse,Le Havre,0.5529156274189387,0.2569450417132536,0.1901393308678077,0.5418418356637764,0.2378553784370949,0.2203027858991285,-0.011073791755162321,-0.019089663276158714,0.030163455031320785,-0.06834389407451391,-0.11993509978274886,0.10151392949564242,1.7194244604316546,3.7,5.0,0.4893760061507679,0.4935881364791307
